,City,Rating,cheap,expensive,medium
0,amsterdam,3.0,92,8.0,588
1,amsterdam,3.5,392,32.0,2200
2,amsterdam,4.0,1316,180.0,5552
3,amsterdam,4.5,1604,504.0,5180
4,amsterdam,5.0,456,72.0,728
5,barcelona,3.0,692,28.0,1548
6,barcelona,3.5,1760,152.0,4656
7,barcelona,4.0,3032,680.0,9212
8,barcelona,4.5,3164,720.0,8172
9,barcelona,5.0,888,112.0,1140
10,berlin,3.0,176,0.0,692
11,berlin,3.5,680,56.0,2840
12,berlin,4.0,2588,408.0,7276
13,berlin,4.5,3268,444.0,5696
14,berlin,5.0,956,64.0,796
15,bratislava,3.0,48,0.0,160
16,bratislava,3.5,64,0.0,428
17,bratislava,4.0,188,32.0,880
18,bratislava,4.5,200,144.0,788
19,bratislava,5.0,164,12.0,152
20,brussels,3.0,180,0.0,940
21,brussels,3.5,436,120.0,2672
22,brussels,4.0,1200,368.0,4980
23,brussels,4.5,712,348.0,2420
24,brussels,5.0,104,8.0,208
25,budapest,3.0,164,0.0,448
26,budapest,3.5,588,8.0,1280
27,budapest,4.0,1032,80.0,3204
28,budapest,4.5,1452,368.0,2828
29,budapest,5.0,548,44.0,452
30,dublin,3.0,168,0.0,352
31,dublin,3.5,368,8.0,1448
32,dublin,4.0,828,104.0,3500
33,dublin,4.5,1120,184.0,3032
34,dublin,5.0,248,28.0,196
35,hamburg,3.0,56,16.0,328
36,hamburg,3.5,192,24.0,1080
37,hamburg,4.0,588,220.0,2888
38,hamburg,4.5,604,368.0,1948
39,hamburg,5.0,108,28.0,212
40,helsinki,3.0,72,8.0,300
41,helsinki,3.5,136,8.0,1132
42,helsinki,4.0,376,184.0,2088
43,helsinki,4.5,336,168.0,884
44,helsinki,5.0,88,0.0,104
45,lisbon,3.0,232,24.0,756
46,lisbon,3.5,620,64.0,1964
47,lisbon,4.0,1996,364.0,4348
48,lisbon,4.5,2140,324.0,3864
49,lisbon,5.0,408,24.0,632
50,ljubljana,3.0,36,0.0,96
51,ljubljana,3.5,96,8.0,208
52,ljubljana,4.0,244,24.0,636
53,ljubljana,4.5,240,72.0,680
54,ljubljana,5.0,56,4.0,68
55,luxembourg,3.0,8,8.0,192
56,luxembourg,3.5,48,32.0,768
57,luxembourg,4.0,124,136.0,1156
58,luxembourg,4.5,80,80.0,692
59,luxembourg,5.0,24,4.0,40
60,lyon,3.0,128,20.0,624
61,lyon,3.5,240,24.0,1188
62,lyon,4.0,476,184.0,2460
63,lyon,4.5,452,364.0,1960
64,lyon,5.0,48,12.0,128
65,madrid,3.0,668,36.0,1664
66,madrid,3.5,1548,196.0,5672
67,madrid,4.0,2060,952.0,9756
68,madrid,4.5,1404,676.0,4944
69,madrid,5.0,324,56.0,604
70,milan,3.0,728,56.0,1296
71,milan,3.5,2016,200.0,4456
72,milan,4.0,3052,776.0,7592
73,milan,4.5,1796,612.0,2304
74,milan,5.0,76,16.0,140
75,munich,3.0,60,12.0,416
76,munich,3.5,368,72.0,1996
77,munich,4.0,656,368.0,4520
78,munich,4.5,668,444.0,2588
79,munich,5.0,152,36.0,252
80,paris,3.0,784,48.0,3820
81,paris,3.5,2064,608.0,10804
82,paris,4.0,4224,1972.0,20664
83,paris,4.5,3852,2084.0,12968
84,paris,5.0,628,244.0,1388
85,prague,3.0,296,16.0,828
86,prague,3.5,756,8.0,2124
87,prague,4.0,1988,100.0,4664
88,prague,4.5,2004,496.0,4500
89,prague,5.0,580,84.0,584
90,rome,3.0,8,0.0,176
91,rome,3.5,940,128.0,4176
92,rome,4.0,3460,644.0,10564
93,rome,4.5,4412,672.0,5604
94,rome,5.0,748,72.0,416
95,stockholm,3.0,136,0.0,784
96,stockholm,3.5,312,88.0,2116
97,stockholm,4.0,392,192.0,3708
98,stockholm,4.5,288,256.0,1888
99,stockholm,5.0,48,24.0,152
100,vienna,3.0,72,0.0,628
101,vienna,3.5,344,48.0,2024
102,vienna,4.0,924,376.0,4916
103,vienna,4.5,888,308.0,3976
104,vienna,5.0,232,48.0,320
105,warsaw,3.0,64,8.0,252
106,warsaw,3.5,264,32.0,1004
107,warsaw,4.0,744,96.0,2832
108,warsaw,4.5,628,352.0,2284
109,warsaw,5.0,188,8.0,192
