,City,Total,Rating,Number_of_Reviews,Ratio
0,amsterdam,2657,3.0,8386.0,3.1561911930748967
1,amsterdam,2657,3.5,44375.0,16.701166729394053
2,amsterdam,2657,4.0,155814.0,58.64283025969138
3,amsterdam,2657,4.5,192242.0,72.35302973278134
4,amsterdam,2657,5.0,4824.0,1.8155814828754233
5,barcelona,5249,3.0,39640.0,7.551914650409602
6,barcelona,5249,3.5,145463.0,27.712516669841875
7,barcelona,5249,4.0,369607.0,70.41474566584111
8,barcelona,5249,4.5,402151.0,76.61478376833682
9,barcelona,5249,5.0,14885.0,2.8357782434749477
10,berlin,3849,3.0,11037.0,2.867498051441933
11,berlin,3849,3.5,53157.0,13.810600155884645
12,berlin,3849,4.0,181765.0,47.22395427383736
13,berlin,3849,4.5,133607.0,34.71213302156404
14,berlin,3849,5.0,5368.0,1.3946479605092232
15,bratislava,527,3.0,1657.0,3.144212523719165
16,bratislava,527,3.5,3480.0,6.603415559772296
17,bratislava,527,4.0,15023.0,28.50664136622391
18,bratislava,527,4.5,17547.0,33.296015180265655
19,bratislava,527,5.0,936.0,1.776091081593928
20,brussels,2119,3.0,11288.0,5.327041057102407
21,brussels,2119,3.5,56954.0,26.87777253421425
22,brussels,2119,4.0,114267.0,53.9249646059462
23,brussels,2119,4.5,63687.0,30.05521472392638
24,brussels,2119,5.0,2340.0,1.1042944785276074
25,budapest,1857,3.0,5454.0,2.9369951534733443
26,budapest,1857,3.5,26798.0,14.430802369413032
27,budapest,1857,4.0,111297.0,59.933764135702745
28,budapest,1857,4.5,174068.0,93.73613354873451
29,budapest,1857,5.0,11287.0,6.078082929456112
30,dublin,1651,3.0,4798.0,2.9061175045427015
31,dublin,1651,3.5,28021.0,16.97213809812235
32,dublin,1651,4.0,115047.0,69.6832222895215
33,dublin,1651,4.5,161556.0,97.85342216838279
34,dublin,1651,5.0,1500.0,0.9085402786190188
35,hamburg,1283,3.0,3608.0,2.81215900233827
36,hamburg,1283,3.5,10287.0,8.01792673421668
37,hamburg,1283,4.0,46489.0,36.23460639127046
38,hamburg,1283,4.5,35182.0,27.421667965705378
39,hamburg,1283,5.0,2713.0,2.114575214341387
40,helsinki,886,3.0,2519.0,2.8431151241534987
41,helsinki,886,3.5,11004.0,12.419864559819413
42,helsinki,886,4.0,33851.0,38.206546275395034
43,helsinki,886,4.5,15831.0,17.867945823927766
44,helsinki,886,5.0,380.0,0.4288939051918736
45,lisbon,2556,3.0,15584.0,6.097026604068858
46,lisbon,2556,3.5,53886.0,21.082159624413144
47,lisbon,2556,4.0,162057.0,63.402582159624416
48,lisbon,2556,4.5,201555.0,78.8556338028169
49,lisbon,2556,5.0,4811.0,1.8822378716744914
50,ljubljana,373,3.0,315.0,0.8445040214477212
51,ljubljana,373,3.5,6075.0,16.28686327077748
52,ljubljana,373,4.0,11873.0,31.831099195710454
53,ljubljana,373,4.5,22302.0,59.79088471849866
54,ljubljana,373,5.0,536.0,1.4369973190348526
55,luxembourg,490,3.0,3027.0,6.177551020408163
56,luxembourg,490,3.5,10526.0,21.481632653061226
57,luxembourg,490,4.0,20187.0,41.19795918367347
58,luxembourg,490,4.5,11344.0,23.151020408163266
59,luxembourg,490,5.0,145.0,0.29591836734693877
60,lyon,1254,3.0,16620.0,13.253588516746412
61,lyon,1254,3.5,34413.0,27.442583732057415
62,lyon,1254,4.0,79826.0,63.65709728867623
63,lyon,1254,4.5,59164.0,47.18022328548644
64,lyon,1254,5.0,1641.0,1.3086124401913874
65,madrid,4288,3.0,30901.0,7.206389925373134
66,madrid,4288,3.5,146340.0,34.127798507462686
67,madrid,4288,4.0,336378.0,78.4463619402985
68,madrid,4288,4.5,204555.0,47.7040578358209
69,madrid,4288,5.0,4401.0,1.0263526119402986
70,milan,3631,3.0,59181.0,16.298815753236024
71,milan,3631,3.5,255469.0,70.35775268521068
72,milan,3631,4.0,453869.0,124.99834756265491
73,milan,3631,4.5,174739.0,48.12420820710548
74,milan,3631,5.0,1724.0,0.474800330487469
75,munich,1766,3.0,4327.0,2.4501698754246886
76,munich,1766,3.5,29617.0,16.77066817667044
77,munich,1766,4.0,115283.0,65.27916194790487
78,munich,1766,4.5,54707.0,30.977916194790488
79,munich,1766,5.0,2063.0,1.168176670441676
80,paris,9543,3.0,84854.0,8.891753117468301
81,paris,9543,3.5,316489.0,33.16451849523211
82,paris,9543,4.0,625148.0,65.50854029131301
83,paris,9543,4.5,412048.0,43.17803625694226
84,paris,9543,5.0,18213.0,1.9085193335429111
85,prague,3076,3.0,17467.0,5.678478543563069
86,prague,3076,3.5,44285.0,14.396944083224968
87,prague,3076,4.0,146148.0,47.51235370611183
88,prague,3076,4.5,214520.0,69.73992197659298
89,prague,3076,5.0,6443.0,2.0946033810143043
90,rome,4303,3.0,20958.0,4.870555426446665
91,rome,4303,3.5,295023.0,68.56216593074599
92,rome,4303,4.0,755863.0,175.6595398559145
93,rome,4303,4.5,542464.0,126.06646525679758
94,rome,4303,5.0,16783.0,3.900302114803625
95,stockholm,1597,3.0,8506.0,5.326236693800877
96,stockholm,1597,3.5,28416.0,17.79336255479023
97,stockholm,1597,4.0,66985.0,41.944270507201004
98,stockholm,1597,4.5,47206.0,29.55917345021916
99,stockholm,1597,5.0,546.0,0.34189104571070755
100,vienna,2225,3.0,5590.0,2.512359550561798
101,vienna,2225,3.5,31713.0,14.253033707865168
102,vienna,2225,4.0,134264.0,60.34337078651686
103,vienna,2225,4.5,81536.0,36.645393258426964
104,vienna,2225,5.0,1795.0,0.8067415730337079
105,warsaw,1364,3.0,1703.0,1.248533724340176
106,warsaw,1364,3.5,12199.0,8.943548387096774
107,warsaw,1364,4.0,47111.0,34.53885630498534
108,warsaw,1364,4.5,50073.0,36.71041055718475
109,warsaw,1364,5.0,907.0,0.6649560117302052
